job_posting_id,job_title,company_name,company_id,job_location,job_seniority_level,job_function,job_employment_type,job_industries,job_posted_time,job_num_applicants,country_code,title_id
3979397740,"Charge Nurse ADN / BSN (RN) ICU FT days $5,000 sign-on bonus",Houston Methodist Orthopedics & Sports Medicine - Clear Lake,56186747,"Oak Island, TX",Mid-Senior level,Health Care Provider,Contract,Medical Practices,3 days ago,25,"""US""",25615
3968965380,Senior .NET Engineer,Dice,6849,"Addison, TX",Mid-Senior level,Engineering and Information Technology,Full-time,Software Development,15 hours ago,25,"""US""",3598
3978694076,Restaurant Server,Benedictine,439676,"Lisle, IL",Entry level,Management and Manufacturing,Part-time,Hospitals and Health Care,4 days ago,25,"""US""",20790
3974475607,Unlock Your Future! - Free Tech Fundamentals Program,NPower,32786,"Houston, TX",Internship,Engineering and Information Technology,Full-time,IT Services and IT Consulting,8 hours ago,25,"""US""",11769
3965009186,"Physician (MD/DO) - Pediatrics in Coffeyville, KS - Excellent Benefits 2024-07-02",LocumJobsOnline,11172808,"Coffeyville, KS",Entry level,Health Care Provider,Full-time,Hospitals and Health Care,5 days ago,25,"""US""",1750
3968695079,Remote Sales Agent,RemoteWorker US,86365742,"Plano, TX",Entry level,Sales and Business Development,Full-time,Staffing and Recruiting,11 hours ago,25,"""US""",635
3958986339,Travel Echo Tech,CrossMed Healthcare Staffing,64742275,"Olney, IL",Entry level,Health Care Provider,Contract,Staffing and Recruiting,3 weeks ago,25,"""US""",14936
3966049963,Program Analyst,FEMA,2995,"Washington, DC",Mid-Senior level,Business Development and Sales,Full-time,Government Administration,5 days ago,25,"""US""",826
3968656515,Marine Electrician Supervisor,Aerotek,2889,"National City, CA",Mid-Senior level,Engineering and Information Technology,Full-time,Staffing and Recruiting,5 hours ago,25,"""US""",26056
3964995932,Human Resources Specialist,U.S. Department of the Treasury,5064,"Hartford, CT",Entry level,Human Resources,Full-time,Government Administration,20 hours ago,25,"""US""",79
3969132477,CDL-A Regional Flatbed Truck Driver,RecruitRookie,103421525,"Kankakee, IL",Entry level,Management and Manufacturing,Full-time,"Transportation, Logistics, Supply Chain and Storage",1 day ago,25,"""US""",31020
3968212216,Senior Data Engineer,Integrated Personnel Services Limited,500341,"Navi Mumbai, Maharashtra, India",Mid-Senior level,Information Technology,Full-time,Staffing and Recruiting,19 hours ago,25,"""IN""",13447
3964929858,General Manager,myGwork - LGBTQ+ Business Community,5240076,"Essex, England, United Kingdom",Mid-Senior level,Management and Manufacturing,Full-time,"Technology, Information and Internet",5 days ago,25,"""GB""",17
3964685436,Dairy Territory Sales Manager,GENEX,845948,"Williamsport, PA",Mid-Senior level,Sales and Business Development,Full-time,Farming,5 days ago,25,"""US""",825
3966910518,Document Transport Route Driver,"The Arc, Oneida-Lewis Chapter",15645848,"Utica, NY",Mid-Senior level,Management and Manufacturing,Full-time,Civic and Social Organizations,1 month ago,25,"""US""",14230
3945094367,Quant Systems Developer,Phaxis,106083,"New York, NY",Associate,Information Technology,Full-time,Financial Services,2 weeks ago,25,"""US""",318
3900087720,Oracle APEX Developer,"ACS Consultancy Services, Inc",71405910,"Albany, NY",Mid-Senior level,Information Technology,Contract,IT Services and IT Consulting,3 months ago,25,"""US""",1702
3968528319,Personal Care Aide,AccentCare,33338,"Smithville, TX",Entry level,Health Care Provider,Full-time,Hospitals and Health Care,2 weeks ago,25,"""US""",18770
3960942585,Business Oversight Compliance Control Room AVP,Barclays,1426,"New York, NY",Mid-Senior level,Accounting/Auditing and Finance,Full-time,Banking and Financial Services,3 weeks ago,25,"""US""",777
3922047572,"**Hiring Now - Part Time Merchandiser - Randleman, NC",American Greetings,162422,"Randleman, NC",Associate,"Sales, Other, and Customer Service",Part-time,Manufacturing and Retail,2 months ago,25,"""US""",380
3959322042,Health and Safety Manager,EcoWater Systems LLC,63265,"Ripley, MS",Mid-Senior level,Management and Manufacturing,Full-time,Manufacturing,4 days ago,25,"""US""",3486
3958658806,Sales Associate,SS&C Intralinks,7994,"New York, NY",Internship,Sales and Business Development,Full-time,Financial Services,3 days ago,25,"""US""",535
3790779205,Project Manager Assistant,Peabody General Contractors,6549377,"Austin, TX",Entry level,Administrative,Full-time,Construction,6 months ago,25,"""US""",14267
3939354268,Member Experience Assistant Manager - South Lansing,Lake Trust Credit Union,992188,"Lansing, SD",Mid-Senior level,Management and Manufacturing,Full-time,Banking,1 month ago,25,"""US""",121
3975496691,Military Police,GoArmy,64693636,"Heath, OH",Entry level,Other,Full-time,Armed Forces,2 weeks ago,25,"""US""",5959
3894471937,"IT Desktop Technician (Senior Systems Analyst (EDP)), Enterprise Infrastructure",NYC Health + Hospitals,21337,"Bronx, NY 101 applicants",Entry level,Information Technology,Full-time,Hospitals and Health Care,1 week ago,101,"""US""",11262
3965812961,Sr. Manager of Sales and Market Expansion - Thermalmechanics,"Vishay Precision Group, Inc. (VPG)",1116890,"Montpelier, VT",Director,Sales and Business Development,Full-time,"Appliances, Electrical, and Electronics Manufacturing",22 hours ago,25,"""US""",25765
3965754489,Remote Travel Assistant - Entry Level,LoveBound Destinations,102826053,"Florida, United States",Entry level,Management and Manufacturing,Full-time,Internet Publishing,5 days ago,25,"""US""",12385
3966758444,Patient Services Rep/ Phlebotomist (MAKO),Mako Medical,5280293,"Mooresville, NC",Entry level,Health Care Provider,Full-time,Hospitals and Health Care,4 days ago,25,"""US""",8220
3965853346,Postal Operations Specialist,Postal Source,28613119,"Buffalo, NY",Entry level,Management and Manufacturing,Full-time,Retail Office Equipment,3 weeks ago,25,"""US""",120
3981956857,School Counselor,U.S. Department of the Interior,15065,"San Felipe Pueblo, NM",Entry level,Other,Full-time,Government Administration,1 week ago,25,"""US""",2052
3908310212,LPN,First Connect,11146731,"Bellaire, MI",Entry level,Health Care Provider,Contract,Staffing and Recruiting,2 months ago,25,"""US""",1367
3949865453,ASSISTANT STORE MANAGER,Family Dollar,163761,"Newton Falls, OH",Mid-Senior level,Sales and Business Development,Full-time,Retail,6 hours ago,25,"""US""",817
3955284170,Management and Program Analyst (Senior Operations Advisor),U.S. Department of the Treasury,5064,"Prestonsburg, KY",Mid-Senior level,Management and Manufacturing,Full-time,Government Administration,2 weeks ago,25,"""US""",5806
3956002955,Environmental Project Manager,Oxford Solutions,84673,"Pittsburgh, PA",Mid-Senior level,Project Management and Information Technology,Contract,Civil Engineering and Environmental Services,1 week ago,25,"""US""",11617
3975992692,"CDL A Drivers: Great Pay & Consistent Miles, New Equipment - Full Time",JobsInLogistics.com,91974,"Monroe, WI",Entry level,Management and Manufacturing,Full-time,"Transportation, Logistics, Supply Chain and Storage",1 week ago,25,"""US""",31020
3892535338,SENIOR SYSTEMS ANALYST,NYC Department of Social Services,11827982,"Manhattan, NY",Mid-Senior level,Information Technology,Full-time,Government Administration,1 month ago,25,"""US""",253
3945877738,"ASST STORE MGR - 21 and older only - in CLINTON, IN S02570",Dollar General,8211,"Clinton, IN",Mid-Senior level,Sales and Business Development,Temporary,Retail,1 month ago,25,"""US""",817
3921432891,Licensed Practical Nurse - Podiatric Medicine and Surgery $15k Sign On Bonus,Guthrie,357168,"Binghamton, NY",Entry level,Health Care Provider,Full-time,Hospitals and Health Care,2 months ago,25,"""US""",1367
3967628511,Lead Platform Engineer,Resourgenix (Pty) Ltd,28532068,Johannesburg Metropolitan Area,Mid-Senior level,Information Technology,Contract,Financial Services,14 hours ago,25,"""ZA""",6483
3853024922,.Net Developer,"ACS Consultancy Services, Inc",71405910,"Albany, NY 47 applicants",Entry level,Engineering and Information Technology,Full-time,IT Services and IT Consulting,3 months ago,47,"""US""",4384
3968285408,ServiceNow Developer I,Sierra Nevada Corporation,12863,"Lone Tree, CO",Entry level,Engineering and Information Technology,Full-time,Defense and Space Manufacturing,2 hours ago,25,"""US""",9
3968639548,Data Entry Clerk Remote,Grafisch Productiebureau Hermes,254031,"Houston, TX",Entry level,Administrative,Full-time,Printing Services,21 hours ago,25,"""US""",3508
3963529172,Finance Analyst,Ecocareers,89983267,"Coalville, UT",Entry level,Finance and Sales,Full-time,Staffing and Recruiting,3 weeks ago,25,"""US""",80
3919332894,Technical Support Manager (Technical Integration Leads),Client Solution Architects,11681331,"Fort Thomas, KY",Not Applicable,Information Technology,Full-time,IT Services and IT Consulting,2 months ago,25,"""US""",8472
3952848776,Diesel Mechanic,Carver Companies,40888227,"Altamont, NY",Entry level,Management and Manufacturing,Full-time,Maritime Transportation,1 month ago,25,"""US""",17317
3960670011,XSS Hotels- Assistant Project Manager,XSS Hotels,9180469,"Hooksett, NH",Entry level,Project Management and Information Technology,Full-time,Hospitality,2 weeks ago,25,"""US""",468
3968677938,Chargé de Facturation H/F,Inopia Finance,5190540,Lyon,Manager,Comptabilité/audit,Temps plein,Recrutement et placement de personnel,il y a 7 heures,25,"""FR""",16137
3979434871,Parent Liaison (5.75 hour),Bay District Schools,1014483,"Panama City, FL",Entry level,Education and Training,Full-time,Education Administration Programs,2 days ago,25,"""US""",19944
3962214104,$300/hour Paid Market Research Study for Sustainability Specialists in the Financial Sector,ecocareers,89983267,"Manchester, England, United Kingdom",Entry level,Other,Full-time,Staffing and Recruiting,1 week ago,25,"""GB""",
3979792998,"Permanent Staff Outpatient Clinic LVN/LPN job in Crescent City, CA - Make $31 - $40/hour",Aya Healthcare,808034,"Crescent City, CA",Entry level,Health Care Provider,Full-time,Staffing and Recruiting,1 week ago,25,"""US""",1367
3965749007,Project Manager,Arcadis,5840,"Chicago, IL",Mid-Senior level,Other,Full-time,Professional Services,6 days ago,25,"""US""",4
3955131735,Accounts Receivable Ecommerce Associate,Meyer Distributing,1162881,"Jasper, IN",Entry level,Accounting/Auditing and Finance,Full-time,Motor Vehicle Manufacturing,2 weeks ago,25,"""US""",18597
3939033417,Superintendent | Multifamily,Michael Page,3476,"Plymouth, MA",Mid-Senior level,Management and Manufacturing,Full-time,"Leasing Non-residential Real Estate, Facilities Services, and Real Estate",1 month ago,25,"""US""",343
3961456859,Property Manager (Commercial - Remote),myGwork - LGBTQ+ Business Community,5240076,"Baltimore, MD",Mid-Senior level,Sales and Management,Full-time,Real Estate,1 week ago,25,"""US""",320
3977652369,Turkish Teacher (Part Time),School of Science and Technology,1264470,"San Antonio, TX",Entry level,Education and Training,Part-time,Primary and Secondary Education,1 week ago,25,"""US""",6790
3958091931,WHMG- Specialty Urology- Patient Services Representative - FT - 1st Shift,Wilson Health,66420,"Sidney, OH",Entry level,Health Care Provider,Full-time,Hospitals and Health Care,2 weeks ago,25,"""US""",8220
3955545520,Director of Retail Operations,JustFoodForDogs,3629096,"Irvine, CA",Director,Sales and Business Development,Full-time,Food Production,2 weeks ago,25,"""US""",7087
3967688175,University Student Assistant - Art & Design Lab Monitor (Fall 2024 - Spring 2025),Jacksonville State University,22646,Metro Jacksonville,Entry level,Education and Training,Full-time,Higher Education,3 weeks ago,25,"""US""",8397
3964249207,Customer Adovate,KIA of Old Saybrook,609857,"New London, CT",Entry level,Other,Full-time,Motor Vehicle Manufacturing,2 weeks ago,25,"""US""",2809
3970870266,Medical Lab Tech PRN,Physicians Regional Healthcare System,10593920,"Longview, TX",Entry level,"Research, Analyst, and Information Technology",Full-time,Hospitals and Health Care,5 days ago,25,"""US""",9176
3945215733,OneIT - Project Portfolio Manager,WSP in the U.S.,468782,"New York, NY",Mid-Senior level,Finance and Sales,Full-time,Professional Services,5 hours ago,25,"""US""",7773
3967644500,Maintenance Associate,HireArt,2506549,"Boston, MA",Associate,Customer Service,Full-time,"Technology, Information and Internet",12 hours ago,25,"""US""",12540
3978405721,Dishwasher,Barcadia Bar & Grill,54814820,"New Orleans, LA",Entry level,Management and Manufacturing,Part-time,Restaurants,4 days ago,25,null,6638
3965407360,Senior Marketing Manager,Golden Star Technology Inc (GST),375433,"Cerritos, CA",Mid-Senior level,Marketing and Sales,Full-time,Computer Hardware Manufacturing,23 hours ago,25,"""US""",393
3982249858,Assistant Chef Manager,Farm Boy Inc.,152509,"Aurora, Ontario, Canada",Mid-Senior level,Management and Manufacturing,Full-time,Retail Groceries,2 days ago,25,"""CA""",20749
3956370425,Staff Analyst,Metropolitan Transportation Authority,366025,"New York, NY",Mid-Senior level,Business Development and Sales,Other,Truck Transportation,6 days ago,25,"""US""",4128
3965487085,Mandarin Chinese Language Instructor,Togetherhood,72279349,"New York, NY",Entry level,Education and Training,Full-time,Education Administration Programs,1 month ago,25,"""US""",3588
3834994241,Nuclear Medicine Technologist,Afton Consulting Group,11328919,"Modesto, CA",Entry level,Health Care Provider,Full-time,Human Resources Services,5 months ago,25,"""US""",7434
3971616366,Travel Allied Health Professional - Medical Lab Scientist,ALOIS Healthcare,13308801,"Eureka, CA",Entry level,Other,Part-time,Hospitals and Health Care,1 week ago,25,"""US""",21726
3965114848,Travel Therapy - Physical Therapist,"TotalMed, Inc.",347685,"Ketchikan, AK",Entry level,Health Care Provider,Full-time,Hospitals and Health Care,1 week ago,25,"""US""",474
3948988301,"Independent Insurance Claims Adjuster in Sunnyside, New York",MileHigh Adjusters Houston,70523578,"Sunnyside, NY",Entry level,Finance and Sales,Full-time,Internet Publishing,1 month ago,25,"""US""",1681
3980833400,Pharmacy Technician,CVS Health,4680,"Mooresville, IN",Not Applicable,Sales,Full-time,Hospitals and Health Care,1 day ago,25,"""US""",1062
3950984644,Manager in Training - Patient Access,HCA Healthcare,3626,"Austin, TX",Internship,Human Resources,Part-time,Hospitals and Health Care,17 hours ago,25,"""US""",2475
3961740798,Staff Technical Program Manager,Generac,18466,"Los Angeles, CA",Mid-Senior level,Project Management and Information Technology,Full-time,Electric Power Generation,1 week ago,25,"""US""",30913
3963280035,Face to Face Interpreter - Tagalog,Access 2 Interpreters,331399,"Columbus, OH",Entry level,Information Technology,Full-time,Translation and Localization,1 week ago,25,"""US""",656
3968695668,Server - Part Time,Q Center,311241,"St Charles, IL",Entry level,Management and Manufacturing,Part-time,Staffing and Recruiting,1 day ago,25,"""US""",234
3968623173,Service Assistant,Baskin Robbins,1825726,"San Diego, CA",Entry level,Other,Full-time,Restaurants,12 hours ago,25,null,2393
3909710574,Senior People Business Partner – Build,Slalom,166000,"Chicago, IL 117 applicants",Mid-Senior level,Business Development and Sales,Full-time,Business Consulting and Services,22 hours ago,117,"""US""",12331
3941728363,Logistician Level V (53765),Beshenich Muir & Associates,1026330,"Aberdeen Proving Ground, MD",Mid-Senior level,Management and Manufacturing,Full-time,Defense and Space Manufacturing,1 month ago,25,"""US""",6536
3960952819,Accounts Receivable Specialist,Coats,7838,"La Vergne, TN",Mid-Senior level,Accounting/Auditing and Finance,Full-time,Textile Manufacturing,1 week ago,25,"""US""",842
3966308687,**Paid Training** Customer Support Specialist (No Cold Calling),Foundever,93160799,"Whitesburg, TN",Entry level,Human Resources,Full-time,Outsourcing and Offshoring Consulting,9 hours ago,25,"""US""",238
3977810146,6th Grade Math and Language Arts,Tutor Doctor North County San Diego,99451447,"Carlsbad, CA",Entry level,Education and Training,Part-time,Staffing and Recruiting,5 days ago,25,"""US""",25560
3965454964,Application Developer,Accenture in India,9215331,"Noida, Uttar Pradesh, India",Entry level,Information Technology and Engineering,Full-time,IT Services and IT Consulting,19 hours ago,25,"""IN""",266
3910544612,Host,Applebee's Neighborhood Grill + Bar,6753,"Los Lunas, NM",Entry level,"Design, Art/Creative, and Information Technology",Full-time,Restaurants,1 day ago,25,"""US""",596
3973983808,RN - ER,GHR Healthcare,11402317,"North Adams, MA",Entry level,Health Care Provider,Full-time,Staffing and Recruiting,1 month ago,25,"""US""",23968
3979984944,Field Crew Member,"ClearPath Utility Solutions, LLC",28174855,"Hebron, OH",Entry level,Management and Manufacturing,Full-time,Construction,3 weeks ago,25,"""US""",2682
3946697677,Business Risk and Control Sr Analyst - C12,Citi,11448,"New York, NY 46 applicants",Not Applicable,Finance and Sales,Full-time,"Banking, Financial Services, and Investment Banking",6 hours ago,46,"""US""",18599
3965857727,Postal Mail Processor - No Experience Required,Postal Source,28613119,"Alexandria, LA",Entry level,Administrative,Full-time,Retail Office Equipment,3 weeks ago,25,"""US""",23311
3967358108,Associate Procurement Manager - Energy and Fuels,ZipRecruiter,967124,"Fairfield, CT",Mid-Senior level,Purchasing and Supply Chain,Full-time,Mechanical Or Industrial Engineering,1 day ago,25,null,600
3919492033,Education Specialist - SAS,Haynes Family of Programs,1575517,"Santa Rosa, CA",Entry level,Education and Training,Other,Non-profit Organizations,2 months ago,25,"""US""",1528
3964444442,Engineer - Methods,"MHI Canada Aerospace, Inc.",10848894,"Mississauga, Ontario, Canada",Mid-Senior level,Management and Manufacturing,Full-time,Aviation and Aerospace Component Manufacturing,13 hours ago,25,"""CA""",8093
3954613158,Quantity Surveyor,Mech Electrics,9351822,"Stockton-On-Tees, England, United Kingdom",Mid-Senior level,Engineering,Full-time,Industrial Machinery Manufacturing,2 weeks ago,25,"""GB""",1779
3974926180,"Travel Nurse RN - Labor/Delivery in Fort Morgan, CO",Cynet Health,10817835,"Fort Morgan, CO",Entry level,Management and Manufacturing,Full-time,Staffing and Recruiting,2 weeks ago,25,"""US""",785
3921106834,Certified Nursing Assistant - CNA,Genesis,11716,"Moses Lake, WA",Entry level,Health Care Provider,Other,Hospitals and Health Care,1 month ago,25,"""US""",1296
3961763782,Research Associate II - Civil and Environmental Engineering,University of Tennessee,166679,"Knoxville, TN",Entry level,"Research, Analyst, and Information Technology",Full-time,Higher Education,5 days ago,25,"""US""",51
3962770778,Python Developer,TechWings,86630757,"Tbilisi, Georgia 60 applicants",Mid-Senior level,Engineering and Information Technology,Full-time,Primary and Secondary Education and Non-profit Organizations,1 month ago,60,"""GE""",25169
3939018592,Director - Consumer and Commercial Insights,Just Play,79716580,"Newtown, PA",Mid-Senior level,Marketing and Sales,Full-time,Manufacturing,1 month ago,25,"""US""",10495
3957660301,Pathways Recent Graduate (Data Scientist),U.S. Department of the Treasury,5064,"Brooklyn, NY",Entry level,Engineering and Information Technology,Part-time,Government Administration,3 days ago,25,"""US""",25190
3948455505,Account Manager - France,Shotgun!,5230783,Paris,Manager,Ventes et Développement commercial,Temps plein,"Arts, spectacles et activités récréatives",il y a 1 semaine,25,"""FR""",11
3965827919,Tax Preparer,Paro,10234785,"North Dakota, United States",Associate,Accounting/Auditing,Full-time,"Technology, Information and Internet",9 hours ago,25,"""US""",2611
3818968010,Jr .NET Software Developer C#,"EON Applications, Inc.",7600818,"McKinney, TX",Entry level,Engineering and Information Technology,Full-time,IT Services and IT Consulting,5 months ago,25,"""US""",3549
3967806047,FS-RISK CONSULTING-FSRM - LTS-SENIOR MANAGER,EY,1073,"Hyderabad, Telangana, India",Mid-Senior level,"Consulting, Information Technology, and Sales",Full-time,Professional Services,12 hours ago,25,"""IN""",9453
3968174135,Project Support Coordinator,Mindlance,47040,"Cupertino, CA",Mid-Senior level,"Management, Project Management, and Marketing",Contract,"Appliances, Electrical, and Electronics Manufacturing, Marketing Services, and Retail",18 hours ago,25,"""US""",17218
3885502624,TX - MRI Tech; 11:00 am to 7:30pm Monday-Friday,HexaQuEST Health Inc,89505205,"Wichita Falls, TX",Entry level,Health Care Provider,Contract,Hospitals and Health Care,3 months ago,25,"""US""",25796
3981119924,PET/CT Technologist,RAYUS Radiology,74491056,"North Versailles, PA",Entry level,Health Care Provider,Temporary,Hospitals and Health Care,1 day ago,25,"""US""",30012
3894867837,Protection & Control Relay Engineer,Arcadis,5840,"New York, NY",Mid-Senior level,Other,Full-time,Professional Services,1 week ago,25,"""US""",1164
